package_pin,side,slot,function,direction,cell,rtl_signal,instance
P39,north,7,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[23],u_gpio_pads[23].u_pad
P40,north,8,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[24],u_gpio_pads[24].u_pad
P41,north,9,VDD,power,sg13g2_IOPadVdd,VDD,u_vdd_pads[2].u_pad
P42,north,10,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[25],u_gpio_pads[25].u_pad
P43,north,11,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[26],u_gpio_pads[26].u_pad
P44,north,12,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[27],u_gpio_pads[27].u_pad
P45,north,13,VSS,ground,sg13g2_IOPadVss,VSS,u_vss_pads[2].u_pad
P46,north,14,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[28],u_gpio_pads[28].u_pad
P47,north,15,jtag_tdo,output,sg13g2_IOPadOut30mA,jtag_tdo_o,u_jtag_tdo_pad
P48,north,16,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[29],u_gpio_pads[29].u_pad
P49,west,1,IOVDD,power,sg13g2_IOPadIOVdd,IOVDD,u_iovdd_pads[3].u_pad
P50,west,2,uart_rx,input,sg13g2_IOPadIn,uart_rx_i,u_uart_rx_pad
P51,west,3,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[30],u_gpio_pads[30].u_pad
P52,west,4,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[31],u_gpio_pads[31].u_pad
P53,west,5,IOVSS,ground,sg13g2_IOPadIOVss,IOVSS,u_iovss_pads[3].u_pad
P54,west,6,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[32],u_gpio_pads[32].u_pad
P55,west,7,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[33],u_gpio_pads[33].u_pad
P56,west,8,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[34],u_gpio_pads[34].u_pad
P57,west,9,VDD,power,sg13g2_IOPadVdd,VDD,u_vdd_pads[3].u_pad
P58,west,10,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[35],u_gpio_pads[35].u_pad
P59,west,11,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[36],u_gpio_pads[36].u_pad
P60,west,12,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[37],u_gpio_pads[37].u_pad
P61,west,13,VSS,ground,sg13g2_IOPadVss,VSS,u_vss_pads[3].u_pad
P62,west,14,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[38],u_gpio_pads[38].u_pad
P63,west,15,uart_tx,output,sg13g2_IOPadOut30mA,uart_tx_o,u_uart_tx_pad
P64,west,16,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[39],u_gpio_pads[39].u_pad
